,prova_realizada_em,dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,cidade_de_nascimento,bairro
0,GO - Goiás,13/01/2017,"7,45","2,2",manhã,Masculino,Casado(a),Ensino médio,fortaleza,Asa Sul
1,GO - Goiás,10/01/2017,"7,4","2,4",manhã,Masculino,Casado(a),Especialização,Recife,Norte (Águas Claras)
2,GO - Goiás,07/01/2017,"7,3","1,8",manhã,Masculino,Casado(a),Superior,BRASILIA,Setor Sudoeste
3,GO - Goiás,02/01/2017,"7,2","1,7",Noite,Masculino,Solteiro(a),Ensino médio,Brasília,Setor Norte
4,GO - Goiás,09/01/2017,"6,95","1,7",manhã,Feminino,Solteiro(a),Superior,BRASÍLIA,Guará I
5,GO - Goiás,10/01/2017,"6,9","2,4",manhã,Feminino,Solteiro(a),Ensino médio,ANÁPOLIS,Jardim Europa
6,GO - Goiás,10/01/2017,"6,9","1,9",manhã,Masculino,Solteiro(a),Ensino médio,ALEXÂNIA,SETOR NORTE
7,GO - Goiás,10/01/2017,"6,75","1,5",manhã,Feminino,Solteiro(a),Superior,ENTRE RIOS DE MINAS,Sul (Águas Claras)
8,GO - Goiás,14/01/2017,"6,45","2,2",manhã,Masculino,Solteiro(a),Superior,Brasilia,Riacho Fundo II
9,GO - Goiás,05/01/2017,"6,45","1,7",manhã,Masculino,Solteiro(a),Ensino médio,BRASÍLIA,Centro
10,GO - Goiás,02/01/2017,"6,4","1,9",Noite,Feminino,Solteiro(a),Ensino médio,Panamá,Setor Norte
11,GO - Goiás,09/01/2017,"6,3","1,8",manhã,Masculino,Casado(a),Superior,ANÁPOLIS,Antônio Fernandes
12,GO - Goiás,08/01/2017,"6,25",2,Noite,Feminino,Solteiro(a),Ensino médio,Tucumã,NOVA COLINA
13,GO - Goiás,12/01/2017,"6,2","1,7",Noite,Masculino,Solteiro(a),Superior incompleto,Brasilia,Sobradinho
14,GO - Goiás,05/01/2017,"6,15","2,4",manhã,Masculino,Solteiro(a),Superior,Cristalina,Taguatinga Norte (Taguatinga)
15,GO - Goiás,09/01/2017,"6,05","2,3",manhã,Masculino,Solteiro(a),Superior,Viçosa,Região dos Lagos (Sobradinho)
16,GO - Goiás,09/01/2017,"6,05","1,8",manhã,Feminino,Solteiro(a),Superior incompleto,Ji-Paraná,Região dos Lagos (Sobradinho)
17,GO - Goiás,13/01/2017,"5,9","1,4",manhã,Masculino,Solteiro(a),Ensino médio,ITAMARI,PARQUE ALVORADA 4
18,GO - Goiás,06/01/2017,"5,85","2,1",Noite,Masculino,Solteiro(a),Superior incompleto,Brasília,Asa Sul
19,GO - Goiás,02/01/2017,"5,85","1,6",Noite,Feminino,Casado(a),Superior,Bom Jesus ,Morada do Sol 
20,GO - Goiás,17/01/2017,"5,85","1,6",manhã,Masculino,Solteiro(a),Ensino médio,Alexânia ,Nova florida
21,GO - Goiás,09/01/2017,"5,85","1,6",Noite,Masculino,Casado(a),Ensino médio,BRASILIA,TAGUATINGA
22,GO - Goiás,15/01/2017,"5,8","1,3",Noite,Feminino,Casado(a),Especialização,Brasília,Setor de Habitações Individuais Norte
23,GO - Goiás,14/01/2017,"5,75",2,manhã,Masculino,Casado(a),Mestrado,Brasília,Taguatinga Norte (Taguatinga)
24,GO - Goiás,05/01/2017,"5,7","1,7",manhã,Feminino,Solteiro(a),Superior,ANAPOLIS,Centro
25,GO - Goiás,06/01/2017,"5,65","1,4",Noite,Masculino,Solteiro(a),Ensino médio,Anapolis,Centro
26,GO - Goiás,02/01/2017,"5,55","1,8",Noite,Masculino,Solteiro(a),Ensino médio,Brasilia ,Residencial Vitória (São Sebastião)
27,GO - Goiás,16/01/2017,"5,55","1,8",Noite,Masculino,Divorciado(a),Especialização,Céres,Águas Claras
28,GO - Goiás,07/01/2017,"5,55","1,8",manhã,Feminino,Solteiro(a),Especialização,Ceres,Jardim esperança
29,GO - Goiás,12/01/2017,"5,55","1,8",Noite,Masculino,Casado(a),Superior,brasília,Samambaia Norte (Samambaia)
30,GO - Goiás,09/01/2017,"5,4","1,4",Noite,Masculino,Casado(a),Ensino médio,BRASILIA,Zona Industrial (Guará)
31,GO - Goiás,17/01/2017,"5,35","1,6",manhã,Masculino,Casado(a),Superior,NIQUELANDIA,Sobradinho
32,GO - Goiás,16/01/2017,"5,35","1,6",Noite,Feminino,Solteiro(a),Ensino médio,ALEXANIA,Centro
33,GO - Goiás,14/01/2017,"5,35","1,6",manhã,Feminino,Solteiro(a),Superior incompleto,JACUNDA,Samambaia Norte (Samambaia)
34,GO - Goiás,17/01/2017,"5,2","1,2",manhã,Masculino,Divorciado(a),Superior,ARAGUARI,Areal (Águas Claras)
35,GO - Goiás,07/01/2017,"5,15","1,4",Noite,Feminino,Solteiro(a),Ensino médio,Alexania,Vila bene
36,GO - Goiás,05/01/2017,"5,15","1,4",Noite,Masculino,Solteiro(a),Superior incompleto,Taguatinga ,Centro
37,GO - Goiás,09/01/2017,5,1,manhã,Feminino,Casado(a),Ensino médio,brasilia,Taguatinga Norte (Taguatinga)
38,GO - Goiás,09/01/2017,5,1,manhã,Masculino,Casado(a),Ensino médio,Santos,Norte (Águas Claras)
39,GO - Goiás,17/01/2017,"4,95","1,2",manhã,Masculino,Casado(a),Ensino médio,BRASILIA,Valparaiso II
40,GO - Goiás,05/01/2017,"4,85","1,1",manhã,Feminino,Solteiro(a),Superior,Alexânia,Centro
41,MG - Minas Gerais,10/01/2017,"8,7","2,2",manhã,Masculino,Solteiro(a),Superior,CARATINGA,Cidade Nova
42,MG - Minas Gerais,03/01/2017,"7,85","1,6",manhã,Masculino,Solteiro(a),Especialização,BELO HORIZONTE,Santo Antônio
43,MG - Minas Gerais,15/01/2017,"7,65","1,4",manhã,Masculino,Solteiro(a),Superior,Contagem,Eldorado
44,MG - Minas Gerais,17/01/2017,"7,5",2,manhã,Masculino,Solteiro(a),Ensino médio,Três Marias,Rosario
45,MG - Minas Gerais,06/01/2017,"7,45","2,2",Noite,Masculino,Divorciado(a),Ensino médio,SANTA LUZIA,Frimisa
46,MG - Minas Gerais,17/01/2017,"7,4","1,9",manhã,Masculino,Casado(a),Superior,NITERÓI,Alípio de Melo
47,MG - Minas Gerais,17/01/2017,"7,25",2,manhã,Masculino,Casado(a),Especialização,Belo Horizonte,Santo Antônio
48,MG - Minas Gerais,10/01/2017,"7,1","2,1",manhã,Masculino,Casado(a),Especialização,RESENDE COSTA,Centro
49,MG - Minas Gerais,08/01/2017,"7,05","2,3",manhã,Masculino,Casado(a),Superior,Perdões,Ipiranga
50,MG - Minas Gerais,02/01/2017,7,2,manhã,Masculino,Solteiro(a),Superior,Pedro leopoldo ,Centro
51,MG - Minas Gerais,03/01/2017,"6,9","1,9",manhã,Masculino,Casado(a),Superior,BELO HORIZONTE,Centro
52,MG - Minas Gerais,10/01/2017,"6,9","1,9",manhã,Masculino,Casado(a),Especialização,Belo Horizonte,Teixeira Dias (Barreiro)
53,MG - Minas Gerais,03/01/2017,"6,85","2,1",manhã,Masculino,Solteiro(a),Ensino médio,Itaúna,Várzea da Olaria
54,MG - Minas Gerais,03/01/2017,"6,8","1,8",manhã,Masculino,Casado(a),Ensino médio,Belo Horizonte,Nova Suíssa
55,MG - Minas Gerais,14/01/2017,"6,75",2,Noite,Masculino,Solteiro(a),Superior,PIMENTA BUENO,Centro
56,MG - Minas Gerais,08/01/2017,"6,75",2,manhã,Masculino,Solteiro(a),Superior incompleto,Barbacena,Funcionários
57,MG - Minas Gerais,10/01/2017,"6,7","1,7",manhã,Masculino,Casado(a),Especialização,Belo Horizonte,Manacás
58,MG - Minas Gerais,13/01/2017,"6,65","1,9",Noite,Masculino,Casado(a),Superior,CURVELO,Coqueiros
59,MG - Minas Gerais,13/01/2017,"6,65","1,9",manhã,Masculino,Solteiro(a),Superior,GOVERNADOR VALADARES,Vila São Paulo
60,MG - Minas Gerais,16/01/2017,"6,65","1,4",manhã,Masculino,Casado(a),Ensino médio,BELO HORIZONTE,Papine (Justinópolis)
61,MG - Minas Gerais,15/01/2017,"6,65","1,4",Noite,Feminino,Casado(a),MBA,Governador Valadares,Santa Terezinha
62,MG - Minas Gerais,16/01/2017,"6,6","1,6",manhã,Masculino,Solteiro(a),Ensino médio,Belo Horizonte,Eldorado
63,MG - Minas Gerais,03/01/2017,"6,55","2,3",manhã,Masculino,Solteiro(a),Superior,MONTES CLAROS,Inconfidência
