dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,estado_realizado_em,cidade_realizado_em,bairro,cidade_nascimento,estado_nascimento,APROVADO
2017-01-13,7.45,2.2,MANHA,MASCULINO,CASADO,ENSINO MEDIO,GO,GOIAS,ASA SUL,FORTALEZA,CE,SIM
2017-10-01,7.4,2.4,MANHA,MASCULINO,CASADO,ESPECIALIZACAO,GO,GOIAS,NORTE (AGUAS CLARAS),RECIFE,PE,SIM
2017-07-01,7.3,1.8,MANHA,MASCULINO,CASADO,SUPERIOR,GO,GOIAS,SETOR SUDOESTE,BRASILIA,DF,SIM
2017-02-01,7.2,1.7,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,GO,GOIAS,SETOR NORTE,BRASILIA,DF,SIM
2017-09-01,6.95,1.7,MANHA,FEMININO,SOLTEIRO,SUPERIOR,GO,GOIAS,GUARA I,BRASILIA,DF,SIM
2017-10-01,6.9,2.4,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,GO,GOIAS,JARDIM EUROPA,ANAPOLIS,GO,SIM
2017-10-01,6.9,1.9,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,GO,GOIAS,SETOR NORTE,ALEXANIA,GO,SIM
2017-10-01,6.75,1.5,MANHA,FEMININO,SOLTEIRO,SUPERIOR,GO,GOIAS,SUL (AGUAS CLARAS),ENTRE RIOS DE MINAS,MG,SIM
2017-01-14,6.45,2.2,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,GO,GOIAS,RIACHO FUNDO II,BRASILIA,DF,SIM
2017-05-01,6.45,1.7,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,GO,GOIAS,CENTRO,BRASILIA,DF,SIM
2017-02-01,6.4,1.9,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,GO,GOIAS,SETOR NORTE,PANAMA,GO,SIM
2017-09-01,6.3,1.8,MANHA,MASCULINO,CASADO,SUPERIOR,GO,GOIAS,ANTONIO FERNANDES,ANAPOLIS,GO,SIM
2017-08-01,6.25,2.0,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,GO,GOIAS,NOVA COLINA,TUCUMA,PA,SIM
2017-12-01,6.2,1.7,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,GO,GOIAS,SOBRADINHO,BRASILIA,DF,SIM
2017-05-01,6.15,2.4,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,GO,GOIAS,TAGUATINGA NORTE (TAGUATINGA),CRISTALINA,GO,SIM
2017-09-01,6.05,1.8,MANHA,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,GO,GOIAS,REGIAO DOS LAGOS (SOBRADINHO),JI-PARANA,RO,SIM
2017-01-13,5.9,1.4,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,GO,GOIAS,PARQUE ALVORADA 4,ITAMARI,BA,SIM
2017-06-01,5.85,2.1,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,GO,GOIAS,ASA SUL,BRASILIA,DF,SIM
